Signal_Source,Label_Source,Signal_Position,Label_Position,Claim_Location,Label_Location,Replay_Time_Diff,Attack_Type
局部_三星S7/20230704_1948,局部_小米MAX3/20230704_1955,"(8235,8635)","(8295,8695)","[""d4""]","[""d4""]",1,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230704_1959,"(550,950)","(477,877)","[""e4""]","[""e4""]",1,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230704_1959,"(2625,2900)","(2580,2980)","[""d3"", ""d4""]","[""d3"", ""d4""]",0,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230704_1959,"(8235,8635)","(8179,8579)","[""d4""]","[""d4""]",1,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230705_1303,"(2625,2900)","(2630,3030)","[""d3"", ""d4""]","[""d3"", ""d4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230705_1303,"(5711,6070)","(5785,6185)","[""d3"", ""c4""]","[""d3"", ""c4""]",2,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230705_1306,"(550,950)","(461,861)","[""e4""]","[""e4""]",1,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230705_1306,"(2625,2900)","(2624,3024)","[""d3"", ""d4""]","[""d3"", ""d4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230705_1306,"(8235,8635)","(8180,8580)","[""d4""]","[""d4""]",1,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230705_1306,"(9035,9435)","(9319,9719)","[""d4""]","[""d4""]",6,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230705_1310,"(2625,2900)","(2746,3146)","[""d3"", ""d4""]","[""d3"", ""d4""]",3,replay_location
局部_三星S7/20230627_1707,局部_小米MAX3/20230705_1310,"(3480,3880)","(4121,4430)","[""d3"", ""d4""]","[""d3"", ""d4""]",12,replay_location
局部_三星S7/20230627_1707,局部_小米MAX3/20230705_1310,"(5532,5932)","(5481,5881)","[""d3"", ""c4""]","[""d3"", ""c4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230705_1310,"(8235,8635)","(8361,8761)","[""d4""]","[""d4""]",3,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230705_1310,"(9035,9435)","(9508,9908)","[""d4""]","[""d4""]",10,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230706_2039,"(2625,2900)","(2618,3018)","[""d3"", ""d4""]","[""d3"", ""d4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230706_2039,"(5711,6070)","(5905,6305)","[""d3"", ""c4""]","[""d3"", ""c4""]",5,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230706_2039,"(8235,8635)","(7002,7402)","[""d3"", ""c4""]","[""d3"", ""c4""]",25,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230706_2039,"(9035,9435)","(8778,9178)","[""d4""]","[""d4""]",5,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230706_2039,"(9035,9435)","(9994,10394)","[""d4""]","[""d4""]",19,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230706_2046,"(2625,2900)","(2685,3085)","[""d3"", ""d4""]","[""d3"", ""d4""]",2,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230706_2046,"(8235,8635)","(8576,8976)","[""d4""]","[""d4""]",7,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230706_2046,"(9035,9435)","(9719,9960)","[""d4""]","[""d4""]",12,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230706_2050,"(5711,6070)","(5630,6030)","[""d3"", ""c4""]","[""d3"", ""c4""]",1,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230706_2050,"(8235,8635)","(8362,8762)","[""d4""]","[""d4""]",3,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230706_2050,"(9035,9435)","(9482,9882)","[""d4""]","[""d4""]",9,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230707_1524,"(2625,2900)","(2525,2925)","[""d3"", ""d4""]","[""d3"", ""d4""]",1,replay_location
局部_三星S7/20230627_1707,局部_小米MAX3/20230707_1524,"(5532,5932)","(5526,5926)","[""d3"", ""c4""]","[""d3"", ""c4""]",0,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230707_1524,"(8235,8635)","(8190,8590)","[""d4""]","[""d4""]",1,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230707_1528,"(2625,2900)","(2598,2998)","[""d3"", ""d4""]","[""d3"", ""d4""]",0,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230707_1528,"(8235,8635)","(8261,8661)","[""d4""]","[""d4""]",1,replay_location
局部_三星S7/20230703_1721,局部_小米MAX3/20230707_1531,"(2625,2900)","(2712,3112)","[""d3"", ""d4""]","[""d3"", ""d4""]",3,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230707_1531,"(5711,6070)","(5762,6162)","[""d3"", ""c4""]","[""d3"", ""c4""]",2,replay_location
局部_三星S7/20230704_1948,局部_小米MAX3/20230707_1531,"(8235,8635)","(8356,8756)","[""d4""]","[""d4""]",3,replay_location
