Method,Attack,Claim_Type,Score
Fingerprint,Replay,Genuine,0.7745414823274489
Fingerprint,Replay,Genuine,0.6969632859643131
Fingerprint,Replay,Genuine,0.5931125254359003
Fingerprint,Replay,Genuine,0.7190672035880401
Fingerprint,Replay,Genuine,1.0
Fingerprint,Replay,Genuine,0.5152087029129417
Fingerprint,Replay,Genuine,0.5937790973552409
Fingerprint,Replay,Genuine,0.6927090164581096
Fingerprint,Replay,Genuine,0.7556784348059667
Fingerprint,Replay,Genuine,0.6153971043331316
Fingerprint,Replay,Genuine,0.6350752957174688
Fingerprint,Replay,Genuine,0.8628187874218638
Fingerprint,Replay,Genuine,0.6484696208549247
Fingerprint,Replay,Genuine,0.6748036515984897
Fingerprint,Replay,Genuine,0.6301034835314137
Fingerprint,Replay,Genuine,0.77305246242843
Fingerprint,Replay,Genuine,0.6802444829891456
Fingerprint,Replay,Genuine,0.9280266618332311
Fingerprint,Replay,Genuine,0.7389423312189033
Fingerprint,Replay,Genuine,0.8611390488014616
Fingerprint,Replay,Genuine,0.8119488763444564
Fingerprint,Replay,Genuine,0.7227774856669679
Fingerprint,Replay,Genuine,0.7009333487775341
Fingerprint,Replay,Genuine,0.7173130910856471
Fingerprint,Replay,Genuine,0.8214731120958685
Fingerprint,Replay,Genuine,0.7951891866258496
Fingerprint,Replay,Genuine,0.729706879953382
Fingerprint,Replay,Genuine,0.8127543199272351
Fingerprint,Replay,Genuine,0.6334001137855728
Fingerprint,Replay,Genuine,0.789106238679247
Fingerprint,Replay,Genuine,0.7917609501837988
Fingerprint,Replay,Genuine,0.6929631434753011
Fingerprint,Replay,Genuine,0.7197584491356782
Fingerprint,Replay,Genuine,0.8243731592544389
Fingerprint,Replay,Genuine,0.705526576952232
Fingerprint,Replay,Genuine,0.7883643139273344
Fingerprint,Replay,Genuine,0.6870106192057382
Fingerprint,Replay,Genuine,0.5827669957794528
Fingerprint,Replay,Genuine,0.6885702974785421
Fingerprint,Replay,Genuine,0.8170918313488884
Fingerprint,Replay,Genuine,0.803007168335685
Fingerprint,Replay,Genuine,0.6778863401457338
Fingerprint,Replay,Genuine,0.6326982766803482
Fingerprint,Replay,Genuine,0.6723495377109828
Fingerprint,Replay,Genuine,0.6723090002876264
Fingerprint,Replay,Genuine,0.81073583419194
Fingerprint,Replay,Genuine,0.603966355502987
Fingerprint,Replay,Genuine,0.6086140968785915
Fingerprint,Replay,Genuine,0.7210039216284435
Fingerprint,Replay,Genuine,0.5574748073507387
Fingerprint,Replay,Genuine,0.5294580205130867
Fingerprint,Replay,Genuine,0.5661098860729983
Fingerprint,Replay,Genuine,0.7507547876006826
Fingerprint,Replay,Genuine,0.7495879661286394
Fingerprint,Replay,Genuine,0.8357705149771375
Fingerprint,Replay,Genuine,0.7840303108916418
Fingerprint,Replay,Genuine,0.5739723005872734
Fingerprint,Replay,Genuine,0.8400935660340858
Fingerprint,Replay,Genuine,0.6244068653344063
Fingerprint,Replay,Genuine,0.7588026532930036
Fingerprint,Replay,Genuine,0.7770465487391225
Fingerprint,Replay,Genuine,0.6812995084752143
Fingerprint,Replay,Genuine,0.6812892214423106
Fingerprint,Replay,Genuine,0.749464377588188
Fingerprint,Replay,Genuine,0.7524628857269285
Fingerprint,Replay,Genuine,0.5776076750987725
Fingerprint,Replay,Genuine,0.588978801936934
Fingerprint,Replay,Genuine,0.7659166883031444
Fingerprint,Replay,Genuine,0.6295203682028807
Fingerprint,Replay,Genuine,0.7088828413384264
Fingerprint,Replay,Genuine,0.7665024280543974
Fingerprint,Replay,Genuine,0.746089973003088
Fingerprint,Replay,Genuine,0.5498411327591103
Fingerprint,Replay,Genuine,0.57941181346406
Fingerprint,Replay,Genuine,0.6274204040048456
Fingerprint,Replay,Genuine,0.9022517747858895
Fingerprint,Replay,Genuine,0.5300724880926353
Fingerprint,Replay,Genuine,0.6390960653763336
Fingerprint,Replay,Genuine,0.8300729900075751
Fingerprint,Replay,Genuine,0.5908077436519549
Fingerprint,Replay,Genuine,0.6106317901278266
Fingerprint,Replay,Genuine,0.7264644531148576
Fingerprint,Replay,Genuine,0.653611102092591
Fingerprint,Replay,Genuine,0.6532814066373674
Fingerprint,Replay,Genuine,0.7655812969221791
Fingerprint,Replay,Genuine,0.5926396566479081
Fingerprint,Replay,Genuine,0.816857117042468
Fingerprint,Replay,Genuine,0.6155606945738962
Fingerprint,Replay,Genuine,0.8067334571326039
Fingerprint,Replay,Genuine,0.6433186446192166
Fingerprint,Replay,Genuine,0.9324194795528006
Fingerprint,Replay,Genuine,0.7736300863682487
Fingerprint,Replay,Genuine,0.6403559026280592
Fingerprint,Replay,Genuine,0.8113727826427353
Fingerprint,Replay,Genuine,0.7053178850195035
Fingerprint,Replay,Genuine,0.46958875501867414
Fingerprint,Replay,Genuine,0.7279548984098976
Fingerprint,Replay,Genuine,0.7754561458537965
Fingerprint,Replay,Genuine,0.7311840062337557
Fingerprint,Replay,Genuine,0.5431657119204156
Fingerprint,Replay,Genuine,0.6937361264495578
Fingerprint,Replay,Genuine,0.76853789486386
Fingerprint,Replay,Genuine,0.7437907447677666
Fingerprint,Replay,Genuine,0.6527395858335017
Fingerprint,Replay,Genuine,0.5681356844290122
Fingerprint,Replay,Genuine,0.5318014834920963
Fingerprint,Replay,Genuine,0.6227780524332782
Fingerprint,Replay,Genuine,0.9053315429416267
Fingerprint,Replay,Genuine,0.7270548628821709
Fingerprint,Replay,Genuine,0.6506624344764272
Fingerprint,Replay,Genuine,0.5453410164481861
Fingerprint,Replay,Genuine,0.901041172509519
Fingerprint,Replay,Genuine,0.8316298105103401
Fingerprint,Replay,Genuine,0.6978966968761405
Fingerprint,Replay,Genuine,0.503440476744691
Fingerprint,Replay,Genuine,0.9012429170780353
Fingerprint,Replay,Genuine,0.5777269108442855
Fingerprint,Replay,Genuine,0.5345399237262778
Fingerprint,Replay,Genuine,0.6961299175230575
Fingerprint,Replay,Genuine,0.7581893270162074
Fingerprint,Replay,Genuine,0.5713643229331045
Fingerprint,Replay,Genuine,0.5609463298738756
Fingerprint,Replay,Genuine,0.8164973221680786
Fingerprint,Replay,Genuine,0.7382485513082381
Fingerprint,Replay,Genuine,0.6067606891426853
Fingerprint,Replay,Genuine,0.6222538354087553
Fingerprint,Replay,Genuine,0.5816758327533122
Fingerprint,Replay,Genuine,0.6517214212282615
Fingerprint,Replay,Genuine,0.7159658672101173
Fingerprint,Replay,Genuine,0.8950811614731573
Fingerprint,Replay,Genuine,0.7790947647248694
Fingerprint,Replay,Genuine,0.7411586775491069
Fingerprint,Replay,Genuine,0.4985174795010967
Fingerprint,Replay,Genuine,0.6690033988473223
Fingerprint,Replay,Genuine,0.5921205872715097
Fingerprint,Replay,Genuine,0.5759400257652731
Fingerprint,Replay,Genuine,0.6524438210466049
Fingerprint,Replay,Genuine,0.7594798429222672
Fingerprint,Replay,Genuine,0.6575009466747815
Fingerprint,Replay,Genuine,0.6133454628882593
Fingerprint,Replay,Genuine,0.5733356287699545
Fingerprint,Replay,Genuine,0.6065355922675939
Fingerprint,Replay,Genuine,0.8592226784014116
Fingerprint,Replay,Genuine,0.8360972739337127
Fingerprint,Replay,Genuine,0.6166968764061592
Fingerprint,Replay,Genuine,0.590321754811027
Fingerprint,Replay,Genuine,0.5886852615623333
Fingerprint,Replay,Genuine,0.8291827440039032
Fingerprint,Replay,Genuine,0.8201730921919398
Fingerprint,Replay,Genuine,0.7841481072840586
Fingerprint,Replay,Genuine,0.8019292618792244
Fingerprint,Replay,Genuine,0.8676354404574576
Fingerprint,Replay,Genuine,0.930656970695698
Fingerprint,Replay,Genuine,0.6685759624142884
Fingerprint,Replay,Genuine,0.6190530222683304
Fingerprint,Replay,Genuine,0.5519694595512201
Fingerprint,Replay,Genuine,0.5935457527344024
Fingerprint,Replay,Genuine,0.6425096556671581
Fingerprint,Replay,Genuine,0.9362352929724396
Fingerprint,Replay,Genuine,0.8495964434816059
Fingerprint,Replay,Genuine,0.522231098648868
Fingerprint,Replay,Genuine,0.7711814750583902
Fingerprint,Replay,Genuine,0.5772772761524044
Fingerprint,Replay,Genuine,0.7589958116140081
Fingerprint,Replay,Genuine,0.6942432222272582
Fingerprint,Replay,Genuine,0.720034803141865
Fingerprint,Replay,Genuine,0.603565845847607
Fingerprint,Replay,Genuine,0.6988649924081045
Fingerprint,Replay,Genuine,0.5682314201072045
Fingerprint,Replay,Genuine,0.5683631066404996
Fingerprint,Replay,Genuine,0.5635765971493314
Fingerprint,Replay,Genuine,0.7139359570816605
Fingerprint,Replay,Genuine,0.7388016584484509
Fingerprint,Replay,Genuine,0.6011473756177903
Fingerprint,Replay,Genuine,0.864380368881773
Fingerprint,Replay,Genuine,0.6723365715044654
Fingerprint,Replay,Genuine,0.5084313758160395
Fingerprint,Replay,Genuine,0.6543084060579029
Fingerprint,Replay,Genuine,0.9782528922985536
Fingerprint,Replay,Genuine,0.7024311706457201
Fingerprint,Replay,Genuine,0.6904508639557494
Fingerprint,Replay,Genuine,0.8091940374869612
Fingerprint,Replay,Genuine,0.8387847977641891
Fingerprint,Replay,Genuine,0.8153940387377697
Fingerprint,Replay,Genuine,0.8376317226928807
Fingerprint,Replay,Genuine,0.663008290540233
Fingerprint,Replay,Genuine,0.6595622769899712
Fingerprint,Replay,Genuine,0.704320914762998
Fingerprint,Replay,Genuine,0.8578524210947744
Fingerprint,Replay,Genuine,0.7252798314638653
Fingerprint,Replay,Genuine,0.6296077538401463
Fingerprint,Replay,Genuine,0.7737895551220844
Fingerprint,Replay,Genuine,0.783017702903741
Fingerprint,Replay,Genuine,0.6445434005030554
Fingerprint,Replay,Genuine,0.474439268332137
Fingerprint,Replay,Genuine,0.6334623665859896
Fingerprint,Replay,Genuine,0.7929259658387606
Fingerprint,Replay,Genuine,0.7429688895584801
Fingerprint,Replay,Genuine,0.5551541515594833
Fingerprint,Replay,Genuine,0.7924623823694221
Fingerprint,Replay,Genuine,0.751242650353168
Fingerprint,Replay,Genuine,0.8869091527567173
Fingerprint,Replay,Genuine,0.6321953403552221
Fingerprint,Replay,Genuine,0.8215949022070708
Fingerprint,Replay,Genuine,0.5717402948624979
Fingerprint,Replay,Genuine,0.5096511230959077
Fingerprint,Replay,Genuine,0.7241482554849845
Fingerprint,Replay,Genuine,0.5515853674575724
Fingerprint,Replay,Genuine,0.49706923727991414
Fingerprint,Replay,Genuine,0.6275762371747027
Fingerprint,Replay,Genuine,0.5481280926666997
Fingerprint,Replay,Genuine,0.6532659007433964
Fingerprint,Replay,Genuine,0.6678598917399196
Fingerprint,Replay,Genuine,0.5728818283661503
Fingerprint,Replay,Genuine,0.6743981105145885
Fingerprint,Replay,Genuine,0.852945277973658
Fingerprint,Replay,Genuine,0.6830997340789844
Fingerprint,Replay,Genuine,0.7857188451312281
Fingerprint,Replay,Genuine,0.4622837333618195
Fingerprint,Replay,Genuine,0.7347552632836429
Fingerprint,Replay,Genuine,0.5940327868853805
Fingerprint,Replay,Genuine,0.6721349184795984
Fingerprint,Replay,Genuine,0.6388851439927984
Fingerprint,Replay,Genuine,0.7516959812578508
Fingerprint,Replay,Genuine,0.7119103928330541
Fingerprint,Replay,Genuine,0.7636352321576615
Fingerprint,Replay,Genuine,0.8599824015647993
Fingerprint,Replay,Genuine,0.8496298727647251
Fingerprint,Replay,Genuine,0.8494973220802147
Fingerprint,Replay,Genuine,0.8791225197229204
Fingerprint,Replay,Genuine,0.7656138774284411
Fingerprint,Replay,Genuine,0.7607164671716563
Fingerprint,Replay,Genuine,0.5881562024042252
Fingerprint,Replay,Genuine,0.6533593686504227
Fingerprint,Replay,Genuine,0.6634901522366085
Fingerprint,Replay,Genuine,0.5942861040911689
Fingerprint,Replay,Genuine,0.9167229938454737
Fingerprint,Replay,Genuine,0.640332948115021
Fingerprint,Replay,Genuine,0.8572518252852884
Fingerprint,Replay,Genuine,0.598261231306827
Fingerprint,Replay,Genuine,0.8054823092666618
Fingerprint,Replay,Genuine,0.3708634409270928
Fingerprint,Replay,Genuine,0.6863466410018937
Fingerprint,Replay,Genuine,0.8632891887172154
Fingerprint,Replay,Genuine,0.8506200455920934
Fingerprint,Replay,Genuine,0.8511025690218827
Fingerprint,Replay,Genuine,0.6895432097079414
Fingerprint,Replay,Genuine,0.8689240931102602
Fingerprint,Replay,Genuine,0.7580652179884273
Fingerprint,Replay,Genuine,0.7733771245723644
Fingerprint,Replay,Genuine,0.8120215130453964
Fingerprint,Replay,Genuine,0.706132728842006
Fingerprint,Replay,Genuine,0.5156441557456097
Fingerprint,Replay,Genuine,0.5720482294374121
Fingerprint,Replay,Genuine,0.8246032591590051
Fingerprint,Replay,Attack,0.7028001206045407
Fingerprint,Replay,Attack,0.6783814010544178
Fingerprint,Replay,Attack,0.6887124093964013
Fingerprint,Replay,Attack,0.731022089461541
Fingerprint,Replay,Attack,0.7577809081163053
Fingerprint,Replay,Attack,0.630054714327942
Fingerprint,Replay,Attack,0.8703390441944346
Fingerprint,Replay,Attack,0.7204050727571757
Fingerprint,Replay,Attack,0.7331956722812691
Fingerprint,Replay,Attack,0.6049164955527472
Fingerprint,Replay,Attack,0.8543926003704848
Fingerprint,Replay,Attack,0.5130993652103226
Fingerprint,Replay,Attack,0.7952676542053457
Fingerprint,Replay,Attack,0.7316468466620941
Fingerprint,Replay,Attack,0.73339175708104
Fingerprint,Replay,Attack,0.7429778718649298
Fingerprint,Replay,Attack,0.6400767537605737
Fingerprint,Replay,Attack,0.7227638765588577
Fingerprint,Replay,Attack,0.7491780510487963
Fingerprint,Replay,Attack,0.4557532091236912
Fingerprint,Replay,Attack,0.7514492068458217
Fingerprint,Replay,Attack,0.826934888825347
Fingerprint,Replay,Attack,0.7629557516426837
Fingerprint,Replay,Attack,0.6442179524152294
Fingerprint,Replay,Attack,0.671029774971907
Fingerprint,Replay,Attack,0.7394632735505872
Fingerprint,Replay,Attack,0.7121462444169258
Fingerprint,Replay,Attack,0.6985850844278201
Fingerprint,Replay,Attack,0.638734742834456
Fingerprint,Replay,Attack,0.5617733045956915
Fingerprint,Replay,Attack,0.8274676464176512
Fingerprint,Replay,Attack,0.6364137734444119
Fingerprint,Replay,Attack,0.6700425234901293
Fingerprint,Replay,Attack,0.7652446750863044
Fingerprint,Replay,Attack,0.563647863982795
Fingerprint,Replay,Attack,0.7913210594815749
Fingerprint,Replay,Attack,0.4789594602251209
Fingerprint,Replay,Attack,0.6888049030821937
Fingerprint,Replay,Attack,0.867832677695489
Fingerprint,Replay,Attack,0.756583402289194
Fingerprint,Replay,Attack,0.6477646711119068
Fingerprint,Replay,Attack,0.5174840685685537
Fingerprint,Replay,Attack,0.7223244868732756
Fingerprint,Replay,Attack,0.4765798988452672
Fingerprint,Replay,Attack,0.6894515320406375
Fingerprint,Replay,Attack,0.692114141354833
Fingerprint,Replay,Attack,0.7058190916536499
Fingerprint,Replay,Attack,0.4824768036169958
Fingerprint,Replay,Attack,0.8158657144558628
Fingerprint,Replay,Attack,0.6371701730875553
Fingerprint,Replay,Attack,0.6552409359301262
Fingerprint,Replay,Attack,0.703293405472161
Fingerprint,Replay,Attack,0.7316253212445982
Fingerprint,Replay,Attack,0.4453764708634744
Fingerprint,Replay,Attack,0.7473331636973939
Fingerprint,Replay,Attack,0.7238193624207617
Fingerprint,Replay,Attack,0.7483231800011662
Fingerprint,Replay,Attack,0.7031226625809163
Fingerprint,Replay,Attack,0.7356697966521208
Fingerprint,Replay,Attack,0.7380800478941394
Fingerprint,Replay,Attack,0.38516733960440436
Fingerprint,Replay,Attack,0.7247425045087268
Fingerprint,Replay,Attack,0.7743255880997325
Fingerprint,Replay,Attack,0.5100543594472832
Fingerprint,Replay,Attack,0.7415431216143682
Fingerprint,Replay,Attack,0.411560892792678
Fingerprint,Replay,Attack,0.4287091069663286
Fingerprint,Replay,Attack,0.7882001698717643
Fingerprint,Replay,Attack,0.7203841421644864
Fingerprint,Replay,Attack,0.5883711778811518
Fingerprint,Replay,Attack,0.7342851198984418
Fingerprint,Replay,Attack,0.7350016819847376
Fingerprint,Replay,Attack,0.7080103698093402
Fingerprint,Replay,Attack,0.7571330963209923
Fingerprint,Replay,Attack,0.7065003816553039
Fingerprint,Replay,Attack,0.3948861589925397
Fingerprint,Replay,Attack,0.5046519093220913
Fingerprint,Replay,Attack,0.7786451959164112
Fingerprint,Replay,Attack,0.6399042507008601
Fingerprint,Replay,Attack,0.7676882517152503
Fingerprint,Replay,Attack,0.4912869758005578
Fingerprint,Replay,Attack,0.805156102855963
Fingerprint,Replay,Attack,0.7606450081148093
Fingerprint,Replay,Attack,0.851885737775296
Fingerprint,Replay,Attack,0.7889045557607438
Fingerprint,Replay,Attack,0.6742028300186133
Fingerprint,Replay,Attack,0.8650959240989441
Fingerprint,Replay,Attack,0.6984913563857499
Fingerprint,Replay,Attack,0.8197151605300953
Fingerprint,Replay,Attack,0.4870203109948429
Fingerprint,Replay,Attack,0.6588352921154461
Fingerprint,Replay,Attack,0.7627292108038168
Fingerprint,Replay,Attack,0.6920207508881063
Fingerprint,Replay,Attack,0.7246686303119521
Fingerprint,Replay,Attack,0.4148381541323467
Fingerprint,Replay,Attack,0.6915505148987594
Fingerprint,Replay,Attack,0.8448047223115456
Fingerprint,Replay,Attack,0.7127546038568646
Fingerprint,Replay,Attack,0.8086898431856624
Fingerprint,Replay,Attack,0.8399391059921009
Fingerprint,Replay,Attack,0.73680021554
Fingerprint,Replay,Attack,0.621333700960024
Fingerprint,Replay,Attack,0.7125112681441663
Fingerprint,Replay,Attack,0.5415448937096036
Fingerprint,Replay,Attack,0.7032428542691572
Fingerprint,Replay,Attack,0.7325193343654436
Fingerprint,Replay,Attack,0.6130685659699417
Fingerprint,Replay,Attack,0.7987401407066488
Fingerprint,Replay,Attack,0.703600691041271
Fingerprint,Replay,Attack,0.6947447626753837
Fingerprint,Replay,Attack,0.4258909391761544
Fingerprint,Replay,Attack,0.4193811124802181
Fingerprint,Replay,Attack,0.7684646719830076
Fingerprint,Replay,Attack,0.8091016394274887
Fingerprint,Replay,Attack,0.7568596521948795
Fingerprint,Replay,Attack,0.4114665417487251
Fingerprint,Replay,Attack,0.7419662787987247
Fingerprint,Replay,Attack,0.7078032268688406
Fingerprint,Replay,Attack,0.6804531101724764
Fingerprint,Replay,Attack,0.5782347954493325
Fingerprint,Replay,Attack,0.7489952499640187
Fingerprint,Replay,Attack,0.6809032495817738
Fingerprint,Replay,Attack,0.4070976226123532
Fingerprint,Replay,Attack,0.6594625214953019
Fingerprint,Replay,Attack,0.7823234755146241
Fingerprint,Replay,Attack,0.5273278477778485
Fingerprint,Replay,Attack,0.6318188564688171
Fingerprint,Replay,Attack,0.7232277089654857
Fingerprint,Replay,Attack,0.8625174979269147
Fingerprint,Replay,Attack,0.7477722564492217
Fingerprint,Replay,Attack,0.5424023828867282
Fingerprint,Replay,Attack,0.689058007726794
Fingerprint,Replay,Attack,0.7044562444343762
Fingerprint,Replay,Attack,0.8046490485842772
Fingerprint,Replay,Attack,0.8224205870523955
Fingerprint,Replay,Attack,0.8310893572858745
Fingerprint,Replay,Attack,0.7459801702995484
Fingerprint,Replay,Attack,0.7205989701194103
Fingerprint,Replay,Attack,0.79397072386546
Fingerprint,Replay,Attack,0.6288849236317164
Fingerprint,Replay,Attack,0.8813401053863228
Fingerprint,Replay,Attack,0.42637012808583
Fingerprint,Replay,Attack,0.590849790605032
Fingerprint,Replay,Attack,0.6998815679856861
Fingerprint,Replay,Attack,0.6122875182093839
Fingerprint,Replay,Attack,0.42778919657914566
Fingerprint,Replay,Attack,0.8164576359100613
Fingerprint,Replay,Attack,0.6180292837353465
Fingerprint,Replay,Attack,0.833149714249248
Fingerprint,Replay,Attack,0.7158247559624139
Fingerprint,Replay,Attack,0.6160819909727644
Fingerprint,Replay,Attack,0.6693124850766778
Fingerprint,Replay,Attack,0.7027135147242322
Fingerprint,Replay,Attack,0.7816800531768423
Fingerprint,Replay,Attack,0.7199023260640266
Fingerprint,Replay,Attack,0.5454955489313241
Fingerprint,Replay,Attack,0.6504601202598119
Fingerprint,Replay,Attack,0.8383993295453982
Fingerprint,Replay,Attack,0.3781424282351061
Fingerprint,Replay,Attack,0.5978037429134611
Fingerprint,Replay,Attack,0.7161669111864083
Fingerprint,Replay,Attack,0.8872382120670494
Fingerprint,Replay,Attack,0.759885991552018
Fingerprint,Replay,Attack,0.6734443991442939
Fingerprint,Replay,Attack,0.7251392422853308
Fingerprint,Replay,Attack,0.7367288530084379
Fingerprint,Replay,Attack,0.6341631444474788
Fingerprint,Replay,Attack,0.6544385698887671
Fingerprint,Replay,Attack,0.7682447091010808
Fingerprint,Replay,Attack,0.47274071047494476
Fingerprint,Replay,Attack,0.4994204115149533
Fingerprint,Replay,Attack,0.7270764778059206
Fingerprint,Replay,Attack,0.673773470871206
Fingerprint,Replay,Attack,0.7163116477090323
Fingerprint,Replay,Attack,0.8115835945156138
Fingerprint,Replay,Attack,0.6635337177162056
Fingerprint,Replay,Attack,0.6682998552181258
Fingerprint,Replay,Attack,0.8497391146423349
Fingerprint,Replay,Attack,0.6157890764146949
Fingerprint,Replay,Attack,0.8078390255674451
Fingerprint,Replay,Attack,0.6160886824388279
Fingerprint,Replay,Attack,0.6183098531506529
Fingerprint,Replay,Attack,0.5373794710111601
Fingerprint,Replay,Attack,0.7736734401521322
Fingerprint,Replay,Attack,0.593837112880075
Fingerprint,Replay,Attack,0.5137237082527426
Fingerprint,Replay,Attack,0.8463300516688311
Fingerprint,Replay,Attack,0.6555338917285015
Fingerprint,Replay,Attack,0.38189701417842276
Fingerprint,Replay,Attack,0.6541036417030144
Fingerprint,Replay,Attack,0.7841164925774182
Fingerprint,Replay,Attack,0.7940005883424195
Fingerprint,Replay,Attack,0.6833338370656264
Fingerprint,Replay,Attack,0.6482300886771698
Fingerprint,Replay,Attack,0.5881140493225522
Fingerprint,Replay,Attack,0.7617790452650205
Fingerprint,Replay,Attack,0.8392697233932508
Fingerprint,Replay,Attack,0.6292294142861918
Fingerprint,Replay,Attack,0.6944614010739927
Fingerprint,Replay,Attack,0.5890812835818297
Fingerprint,Replay,Attack,0.7074120921956175
Fingerprint,Replay,Attack,0.6975121736358685
Fingerprint,Replay,Attack,0.7936134608338352
Fingerprint,Replay,Attack,0.4036525067954543
Fingerprint,Replay,Attack,0.7967435744144843
Fingerprint,Replay,Attack,0.8798091056691695
Fingerprint,Replay,Attack,0.7593431063560667
Fingerprint,Replay,Attack,0.8310092113079907
Fingerprint,Replay,Attack,0.4680996270112889
Fingerprint,Replay,Attack,0.6875424379515606
Fingerprint,Replay,Attack,0.6782645614322688
Fingerprint,Replay,Attack,0.6051930295918593
Fingerprint,Replay,Attack,0.5270428439217024
Fingerprint,Replay,Attack,0.736591357345432
Fingerprint,Replay,Attack,0.8292626287843888
Fingerprint,Replay,Attack,0.8002310761422573
Fingerprint,Replay,Attack,0.7304493195927162
Fingerprint,Replay,Attack,0.416790544845354
Fingerprint,Replay,Attack,0.6198625821207546
Fingerprint,Replay,Attack,0.601793671124957
Fingerprint,Replay,Attack,0.6963177167750859
Fingerprint,Replay,Attack,0.8125830859962274
Fingerprint,Replay,Attack,0.6909163525140486
Fingerprint,Replay,Attack,0.7231410048675847
Fingerprint,Replay,Attack,0.7351445499431252
Fingerprint,Replay,Attack,0.6853662305180955
Fingerprint,Replay,Attack,0.6520169411723163
Fingerprint,Replay,Attack,0.8046191892657366
Fingerprint,Replay,Attack,0.8622263871991571
Fingerprint,Replay,Attack,0.685554717364693
Fingerprint,Replay,Attack,0.7982217684510909
Fingerprint,Replay,Attack,0.8473936428614401
Fingerprint,Replay,Attack,0.5117980464447873
Fingerprint,Replay,Attack,0.8484647420584567
Fingerprint,Replay,Attack,0.7562163645270403
Fingerprint,Replay,Attack,0.7299272165379616
Fingerprint,Replay,Attack,0.6638826843594704
Fingerprint,Replay,Attack,0.6269298469870104
Fingerprint,Replay,Attack,0.7658413481969732
Fingerprint,Replay,Attack,0.5321754053689937
Fingerprint,Replay,Attack,0.7019771826092929
Fingerprint,Replay,Attack,0.5875874587332567
Fingerprint,Replay,Attack,0.4916016864884805
Fingerprint,Replay,Attack,0.5924144923902827
Fingerprint,Replay,Attack,0.7321873662468747
Fingerprint,Replay,Attack,0.5526350767566027
Fingerprint,Replay,Attack,0.8777156814409736
Fingerprint,Replay,Attack,0.4012345292160208
Fingerprint,Replay,Attack,0.7961142182647514
Fingerprint,Replay,Attack,0.7400486791316928
Fingerprint,Replay,Attack,0.7267636744740238
